Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS
24966,WV,0.36,2160,05/19/2010,37.98,-80.36,3;87,Greenbrier,54025
24901,WV,0.9,5400.0,1/5/2011,37.80,-80.43,3;85,Greenbrier,54025
25411,WV,0.9,7490.0,11/16/2010,39.55,-78.21,3;86,Morgan,54065
25411,WV,0.92,9000.0,09/15/2010,39.55,-78.21,3;86,Morgan,54065
26651,WV,1.0,3585.0,7/10/2012,38.28,-80.84,3;64,Nicholas,54067
25422,WV,1.0,7500.0,3/1/2010,39.62,-78.29,3;81,Morgan,54065
25438,WV,1.3,10000.0,08/13/2010,39.29,-77.86,4;00,Jefferson,55055
25443,WV,1.3,25000,09/19/2008,39.43,-77.80,3;96,Jefferson,55055
25411,WV,1.41,9165.0,04/29/2011,39.55,-78.21,3;86,Morgan,54065
25411,WV,1.41,9517.5,04/26/2011,39.55,-78.21,3;86,Morgan,54065
25314,WV,1.44,,09/19/2011,38.35,-81.63,3;72,Kanawha,54039
25404,WV,1.58,11850.0,7/1/2010,39.46,-77.96,3;88,0,0
24966,WV,1.68,9500.0,10/11/2011,0,0,0,Greenbrier,54025
25976,WV,1.75,13000.0,09/16/2009,37.98,-80.36,3;87,Fayette,54019
24976,WV,1.8,14362,10/29/2009,37.86,-80.85,3;77,Monroe,55081
25411,WV,1.84,13800.0,04/21/2010,37.66,-80.52,3;93,Morgan,54065
25976,WV,1.9,11400.0,08/16/2011,39.55,-78.21,3;86,Fayette,54019
24901,WV,1.92,10200.0,07/26/2012,37.86,-80.85,3;77,Greenbrier,54025
25443,WV,2.07,13500.0,09/14/2010,37.80,-80.43,3;85,Jefferson,55055
25443,WV,2.1,20000,04/23/2010,39.43,-77.80,3;96,Jefferson,55055
25411,WV,2.35,14000.0,6/10/2011,39.43,-77.80,3;96,Morgan,54065
25411,WV,2.35,15275.0,04/20/2011,39.55,-78.21,3;86,Morgan,54065
25427,WV,2.7,28250.0,8/11/2010,39.55,-78.21,3;86,Berkeley,54003
24901,WV,2.76,15500.0,05/18/2011,39.55,-77.99,3;88,Greenbrier,54025
25411,WV,2.76,20700.0,5/9/2010,37.80,-80.43,3;85,Morgan,54065
25428,WV,2.82,18330.0,01/26/2011,39.55,-78.21,3;86,Berkeley,54003
25411,WV,2.82,19035.0,4/7/2011,39.35,-78.05,3;91,Morgan,54065
25411,WV,2.82,19035.0,10/13/1997,39.55,-78.21,3;86,Morgan,54065
25443,WV,2.82,,05/25/2011,39.55,-78.21,3;86,Jefferson,55055
25443,WV,2.82,19740.0,11/2/2010,39.43,-77.80,3;96,Jefferson,55055
25442,WV,3.0,12000.0,11/15/2013,39.43,-77.80,3;96,Jefferson,55055
26505,WV,3.12,20000.0,04/18/2013,39.35,-77.84,3;97,Monongalia,54061
24901,WV,3.33,20400.0,11/22/2011,39.63,-79.94,3;49,Greenbrier,54025
25411,WV,3.525,25556.0,03/28/2011,37.80,-80.43,3;85,Morgan,54065
25422,WV,3.525,,06/20/2011,39.55,-78.21,3;86,Morgan,54065
25235,WV,3.54,,09/15/2010,39.62,-78.29,3;81,Calhoun,54013
24901,WV,3.6,,08/31/2010,38.67,-81.09,3;71,Greenbrier,54025
25404,WV,3.6,27000.0,07/29/2010,37.80,-80.43,3;85,0,0
24966,WV,3.6,22500,05/24/2010,39.46,-77.96,3;88,Greenbrier,54025
24901,WV,3.68,26100.0,04/18/2011,0,0,0,Greenbrier,54025
25430,WV,3.76,,01/31/2012,37.98,-80.36,3;87,Jefferson,55055
24901,WV,3.84,25900.0,12/20/2011,37.80,-80.43,3;85,Greenbrier,54025
26505,WV,4.032,,01/21/2010,39.38,-77.88,3;96,Monongalia,54061
25411,WV,4.14,33120.0,10/30/2009,37.80,-80.43,3;85,Morgan,54065
25411,WV,4.14,33120.0,12/8/2009,39.63,-79.94,3;49,Morgan,54065
25425,WV,4.14,31050.0,6/10/2010,39.55,-78.21,3;86,Jefferson,55055
25446,WV,4.14,19035.0,09/17/2010,39.55,-78.21,3;86,Jefferson,55055
25446,WV,4.23,,11/30/2010,39.32,-77.74,4;07,Jefferson,55055
25411,WV,4.56,34200.0,4/6/2010,39.24,-77.95,4;03,Morgan,54065
25411,WV,4.6,34500.0,03/25/2010,39.24,-77.95,4;03,Morgan,54065
25411,WV,4.7,27000.0,04/30/2011,39.55,-78.21,3;86,Morgan,54065
25411,WV,4.73,35475.0,7/5/2010,39.55,-78.21,3;86,Morgan,54065
24966,WV,4.83,26565.0,04/21/2011,39.55,-78.21,3;86,Greenbrier,54025
25430,WV,4.83,36225.0,6/9/2010,39.55,-78.21,3;86,Jefferson,55055
26711,WV,5.0,28000.0,6/9/2010,37.98,-80.36,3;87,Hampshire,54027
26610,WV,5.2,39000.0,11/19/2012,39.38,-77.88,3;96,Nicholas,54067
25812,WV,5.2,33800.0,03/21/2012,39.29,-78.43,3;91,Fayette,54019
24901,WV,5.28,27500.0,11/17/2010,38.49,-80.75,3;62,Greenbrier,54025
24901,WV,5.4,32500.0,8/10/2010,38.13,-81.10,3;65,Greenbrier,54025
25443,WV,5.405,,6/5/2013,37.80,-80.43,3;85,Jefferson,55055
25966,WV,5.5,35884,12/10/2009,37.80,-80.43,3;85,Summers,54089
25840,WV,5.64,,05/16/2011,39.43,-77.80,3;96,Fayette,54019
25427,WV,5.64,,12/9/2011,37.79,-80.83,3;87,Berkeley,54003
25411,WV,5.64,35311.0,6/1/2011,38.05,-81.10,3;73,Morgan,54065
25427,WV,5.98,44850.0,6/4/2010,39.55,-77.99,3;88,Berkeley,54003
25411,WV,5.98,44850.0,6/8/2010,39.55,-78.21,3;86,Morgan,54065
25404,WV,6.07,48500.0,11/18/2009,39.55,-77.99,3;88,0,0
25825,WV,6.24,39000.0,08/18/2011,39.55,-78.21,3;86,Raleigh,54081
25411,WV,6.44,48300.0,03/19/2010,39.46,-77.96,3;88,Morgan,54065
26710,WV,6.5,12500.0,05/25/2007,0,0,0,Mineral,54057
