Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS
84738,UT,0.22,1843.1,12/1/2007,37.18,-113.63,7;71,Washington,55131
84782,UT,0.34,3579.32,03/26/2008,37.42,-113.72,7;67,Washington,55131
84065,UT,0.36,1967.51,12/1/2000,40.47,-112.00,5;74,Salt Lake,49035
84525,UT,0.555,5342.21,12/1/2010,38.98,-110.65,7;02,Emery,49015
84532,UT,0.64,3750.0,5/1/2006,38.45,-109.60,6;88,Grand,49019
84096,UT,0.735,3454.0,01/24/2014,40.48,-112.07,5;54,0,0
84096,UT,0.735,3454.0,01/24/2014,0,0,0,0,0
84096,UT,0.735,3454.0,01/24/2014,40.48,-112.07,5;54,0,0
84096,UT,0.735,3454.0,01/24/2014,0,0,0,0,0
84128,UT,0.75,3750.0,03/25/2013,40.48,-112.07,5;54,Salt Lake,49035
84010,UT,0.75,1937.02,5/1/2007,0,0,0,Davis,49011
84118,UT,0.75,4206.0,01/24/2014,40.48,-112.07,5;54,Salt Lake,49035
84118,UT,0.75,4206.0,01/24/2014,0,0,0,Salt Lake,49035
84096,UT,0.75,3454.0,01/24/2014,40.70,-112.05,5;51,0,0
84096,UT,0.75,3454.0,01/24/2014,40.88,-111.82,5;74,0,0
84096,UT,0.75,3454.0,01/24/2014,40.65,-112.01,5;64,0,0
84096,UT,0.75,3454.0,01/24/2014,40.65,-112.01,5;64,0,0
84096,UT,0.75,1727.0,2/3/2014,40.48,-112.07,5;54,0,0
84096,UT,0.75,3454.0,02/13/2014,0,0,0,0,0
84096,UT,0.75,3454.0,01/24/2014,40.48,-112.07,5;54,0,0
84096,UT,0.75,3454.0,01/24/2014,0,0,0,0,0
84096,UT,0.75,3454.0,2/3/2014,40.48,-112.07,5;54,0,0
84096,UT,0.75,3454.0,2/3/2014,0,0,0,0,0
84096,UT,0.75,3454.0,2/3/2014,40.48,-112.07,5;54,0,0
84096,UT,0.75,3454.0,2/3/2014,0,0,0,0,0
84096,UT,0.75,3454.0,01/24/2014,40.48,-112.07,5;54,0,0
84096,UT,0.765,3454.0,02/13/2014,0,0,0,0,0
84111,UT,0.925,8809.21,08/30/2010,40.48,-112.07,5;54,Salt Lake,49035
84106,UT,0.96,7930.7,04/22/2004,0,0,0,Salt Lake,49035
84737,UT,0.99,10735.0,06/25/2007,40.48,-112.07,5;54,Washington,55131
84003,UT,1.0,9584.81,8/3/2009,0,0,0,Utah,49049
84044,UT,1.032,82500.0,1/1/2010,40.48,-112.07,5;54,Salt Lake,49035
84782,UT,1.04,10370.0,09/23/2008,0,0,0,Washington,55131
84032,UT,1.04,8694.0,12/30/2006,40.48,-112.07,5;54,Wasatch,49051
84123,UT,1.05,5602.79,11/3/2010,0,0,0,Salt Lake,49035
84121,UT,1.2,8901.12,12/27/2007,40.48,-112.07,5;54,Salt Lake,49035
84790,UT,1.2,9660.65,12/30/2006,0,0,0,Washington,55131
84637,UT,1.2,7171.76,5/5/2006,40.48,-112.07,5;54,0,0
84637,UT,1.2,7171.76,11/1/2005,0,0,0,0,0
84116,UT,1.25,7058.0,12/11/2013,40.48,-112.07,5;54,Salt Lake,49035
84783,UT,1.258,11300.0,08/26/2008,0,0,0,Washington,55131
84105,UT,1.35,9965.0,11/15/2010,40.48,-112.07,5;54,Salt Lake,49035
84332,UT,1.4,15005.81,12/1/2009,0,0,0,Cache,49005
84105,UT,1.4,12707.0,08/28/2007,40.48,-112.07,5;54,Salt Lake,49035
84720,UT,1.44,12158.82,10/8/2010,0,0,0,Iron,55051
84532,UT,1.44,13922.0,09/19/2008,40.75,-111.88,5;86,Grand,49019
84532,UT,1.44,12065.0,12/18/2007,40.70,-111.85,5;86,Grand,49019
84532,UT,1.44,12247.07,12/17/2007,37.13,-112.97,7;43,Grand,49019
84532,UT,1.44,14400.0,12/10/2007,40.39,-111.78,5;86,Grand,49019
84106,UT,1.44,12082.81,9/9/2002,40.70,-112.08,5;67,Salt Lake,49035
84097,UT,1.46,11394.64,10/1/2008,37.42,-113.72,7;67,Utah,49049
84096,UT,1.47,3454.0,01/24/2014,40.43,-111.19,5;87,0,0
84078,UT,1.485,9396.79,12/11/2006,40.65,-111.92,5;82,Uintah,49047
84116,UT,1.5,8220.0,8/7/2013,40.62,-111.71,5;67,Salt Lake,49035
84106,UT,1.5,7125.0,09/16/2013,37.06,-113.57,7;60,Salt Lake,49035
84095,UT,1.5,7649.0,01/24/2014,38.81,-112.42,0,Salt Lake,49035
84095,UT,1.5,7649.0,01/24/2014,0,0,0,Salt Lake,49035
84095,UT,1.5,7649.0,01/24/2014,38.81,-112.42,5;69,Salt Lake,49035
84096,UT,1.5,6095.0,02/13/2014,0,0,7;67,0,0
84017,UT,1.52,15600.0,9/1/2010,40.81,-111.94,5;86,Summit,49043
84095,UT,1.53,7649.0,01/24/2014,37.26,-113.69,5;81,Salt Lake,49035
84720,UT,1.56,15563.65,6/12/2006,40.73,-111.85,5;86,Iron,55051
84060,UT,1.56,6787.0,08/15/2013,41.69,-111.81,7;36,Summit,49043
84102,UT,15.662,15335.0,08/17/2011,40.73,-111.85,6;88,Salt Lake,49035
84105,UT,1.575,14046.56,12/28/2009,37.81,-113.22,6;88,Salt Lake,49035
84105,UT,1.61,11125.0,07/15/2010,38.45,-109.60,6;88,Salt Lake,49035
84117,UT,1.621.972,12985.0,8/4/2011,38.45,-109.60,6;88,Salt Lake,49035
84095,UT,1.64,14500.0,06/21/2010,38.45,-109.60,5;86,Salt Lake,49035
84095,UT,1.64,14500.0,03/18/2010,38.45,-109.60,6;23,Salt Lake,49035
84095,UT,1.64,14500.0,3/1/2010,40.70,-111.85,5;54,Salt Lake,49035
84095,UT,1.64,14500.0,11/15/2009,40.29,-111.67,0,Salt Lake,49035
84095,UT,1.64,14500.0,11/15/2009,40.48,-112.07,6;30,Salt Lake,49035
